"","n","Date","Course","Horse","Stake","Result","Result_comment","Price_taken","sp","win_total","pl_total","bet_profit_loss","running_profit_loss","cumulative_stake","win_percent_strike","profit_loss_percent_strike","win_percent_profit","comments","Price_taken_dec","SP_dec"
"210",210,2022-06-30,"Tipperary","Alfiery",100,1,"Won*","10/1*","10/1",46,107,1000,6979,21000,21.9047619047619,50.9523809523809,33.2333333333333,"Ridiculous ride last time when gambled on 2nd over 2m given impossible task but cruising in rear to finish on the bit with the winner gone. Bred to stay well and now upped to 3m off same mark.
This has absolutley sluiced up. On the bridle the whole way, easy headway from half way and won going away with any amount in hand.",11,11
"211",211,2022-07-01,"Wexford","Visionarian",100,1,"Won*","4.48ex (ad)","2/1",47,108,330.6,7309.6,21100,22.2748815165877,51.1848341232227,34.642654028436,"Two stand out, neither big yards but this is marginally the best hurdler and a likely chasing type. Off for a while so needs to be fit but has won after a break. The other one out of form over timber.
Jumped superbly on first try over fences, moved up effortlessly three out and took the measure of his main market rival from the turn in.",NA,3
"212",212,2022-07-01,"Wexford","Champagne Gold",100,1,"Won*","5/2","15/8",48,109,250,7559.6,21200,22.6415094339623,51.4150943396226,35.6584905660377,"Missed the better  prices but this is another highest rated hurdler in a mdn chase. Has some form over fences but was given a quiet time both tries, and has been freshened up after a stint back hurdling.
With the main danger running no race this might have been easier but he had to have Rachel Blackmore at her strongest to get up. Good ride.",3.5,2.9
"213",213,2022-07-02,"Sandown","Mitbaahy",100,2,"2nd","3/1","9/4",48,110,-100,7459.6,21300,22.5352112676056,51.6431924882629,35.0215962441315,"G3. Top rated a 7yo and would be an avge winner but Mitbaahy won a listed over CD last time, quickening on the outside to pull clear of his field. Has to find a few pounds but could be improving fast.
Travelled best but didn't want  the far rail coming from off the pace as market rival got a clear run wide. Shade unlucky but winner was underestimated by me.",4,3.2
"214",214,2022-07-02,"Bellewstown","The Friday Man",100,1,"Won*","3/1","2/1",49,111,300,7759.6,21400,22.8971962616822,51.8691588785047,36.2598130841122,"A couple of dangerous opponents so value at the margins but lookedimproved for Elliot. Won a Tramore bumper with plenty of vim, full of running at the finish for a rating that puts him right there.
Made a mess of 1st 2 and dropped to rear, but travelled well from there and made effortless ground to get to the leaders and all over the rest to win readily.",4,3
"215",215,2022-07-03,"Chelmsford","Take A Stand",100,0,"unpl","5.4ex","3/1",49,111,-100,7659.6,21500,22.7906976744186,51.6279069767442,35.6260465116279,"Don’t want to see this win unbacked, but inevitably, it has the outside draw. Gosden fav is disappointing and this ct the eye on hcp debut from a bad draw/trip at Lingfield, finishing like a train from the back.
Can't win with James Tate in the red sash. Always disappoint. Rossa Ryan took him back from the wide draw and that was that. Cant win from there at this track.",5.4,4
"216",216,2022-07-04,"Ayr","Sophiesticate",100,0,"unpl","7/1","7/1",49,111,-100,7559.6,21600,22.6851851851852,51.3888888888889,34.9981481481482,"Complicated by owner 2nd colours but looks the right race for her after a 3rd at Hamilton, not cl run before switch and ROW. 2f step up on galloping track will giver time to find her stride. Unsuited by test of speed lto.
Should have dodged this with the 1st colours touched off. Mulrennan special. Anchored at the back, tried to thread through, baulked and too much to do.",8,8
"217",217,2022-07-04,"Roscommon","Mister Beeton",100,1,"Won*","7/1","9/2",50,112,700,8259.6,21700,23.0414746543779,51.6129032258064,38.0626728110599,"Elliot horse a mystery after bad run but at the prices this one is chanced on jumps debut on the best of his bumper form including a couple of seconds to smart types, last time staying on late behind a Mullins certainty.
Looked not off, but possibly just green - still strangling it on the run to 2nd last when leader ducked out. Then jinked when clear by default. Late money & too good.",8,5.5
"218",218,2022-07-05,"Pontefract","Planet Legend",100,0,"unpl","5/1","6/1",50,112,-100,8159.6,21800,22.9357798165138,51.3761467889908,37.4293577981651,"200k hcp debutant, going in right direction. His 2nd lto to a Haggas improver puts him in light here. Although that form is questionable on pace, there's a fair margin to play with and the two above him have some doubts.
Market all over the place - it was no-yes- then a big no in th elast 60 secs. That sealed it. Slowly out and ver really travelling he wasn't ready for  a handicap like this.",6,7
"219",219,2022-07-06,"Fairyhouse","Carlton Gardens",100,0,"unpl","11/4","7/4",50,112,-100,8059.6,21900,22.8310502283105,51.1415525114155,36.8018264840183,"Expensive purchase: faded late in a pretty good 13f maiden last time. Slowly run but 10f may help. Interpolation of ratings on that race gives him a good chance if not flattered he is well in, but why a claimer?
Well we found out why he was in a claimer. Found nothing on the front - I really should have stayed well clear of a horse with this profile, he looked classy but is hopeless.",3.8,2.8
"220",220,2022-07-08,"York","Flotus",100,1,"Won*","11/4","9/4",51,113,275,8334.6,22000,23.1818181818182,51.3636363636364,37.8845454545455,"Skinny enough in a decent Group 3 but placed in a Group 1 at Ascot with a couple of these behind and down to a group 3 at a track that should suit her running style. Top rated on official marks so hard to leave out.
Pretty straightforward, SDS had her prominent and she led from the four pole and was never stopping, pulling nicely clear. Too good for this grade of opposition.",3.8,3.2
"221",221,2022-07-08,"Cork","Misty's Gift",100,2,"2nd","8/1","6/1",51,114,-100,8234.6,22100,23.0769230769231,51.5837104072398,37.2606334841629,"Speculative as poor connections and has to improve on hurdle debut. But but he was staying on over 4f shorter in a better race than this one & form is working out. Bumper form puts him right there. Opposition vulnerable enough so a bit of value.
Looked all over the winner when the leader gave him a bump at the second last and cost him momentum. The winner did find plenty after and deserved the win.",9,7
"222",222,2022-07-09,"York","Winter Power",100,0,"unpl","11/4","11/4",51,114,-100,8134.6,22200,22.972972972973,51.3513513513513,36.6423423423423,"Has been way below form since winning the Nuntorpe last year, but with possible reasons. This is her track though and her form last year and here in particular would win this in a hack canter. If she's back to anywhere near that she'd be hard to beat.
So she was either back to her best for a return to York or she'd deteriorated, and it was very much the latter. She got to the front but couldn't sustain it and she's off all lists.",3.8,3.8
"223",223,2022-07-10,"Sligo","Sky Sprinter",100,0,"unpl","4.2ex","9/4",51,114,-100,8034.6,22300,22.8699551569507,51.1210762331839,36.0295964125561,"Sky Sprinter is a Mullins lesser light, but might have been found a decent opportunity here. His fifth in a fair bumper two runs ago gives him every chance of being competitive in this field with main rival Daisy Dufresne not progressing.
Got the lead but never looked comfortable at any stage and faded a fair way from home. Daisy Dufresne didn't need to improve to win it although just got up.",4.2,3.2
"224",224,2022-07-10,"Sligo","Bang On Target",100,0,"unpl","12/1","13/2",51,114,-100,7934.6,22400,22.7678571428571,50.8928571428571,35.4223214285714,"Potential improver up in trip after making gradual progress with each run over hurdles. Bumper number would just about win it.
Just didn’t stay. Travelled ok but never getting competitive and fade away tamely.",13,7.5
"225",225,2022-07-11,"Fos Las","Thanks Monica",100,2,"2nd","7/2","3/1",51,115,-100,7834.6,22500,22.6666666666667,51.1111111111111,34.8204444444444,"Nothing outstanding about her actual chance in this race but she's come down the hcp after a front running ride contributed to her defeat last month. But Beckett has put blinkers on her and he's red hot when that happens. Worth another chance.
She was in it to win it but the pace setter got first run and wouldn't be caught. Maybe not entirely straightforward either, Hung in behind a bit, though was second best.",4.5,4
"226",226,2022-07-11,"Wolves","Sweeping Statement",100,2,"2nd","3/1","9/5",51,116,-100,7734.6,22600,22.5663716814159,51.3274336283186,34.2238938053097,"If I'm doing one Beckett b1 angle I have to do the other and this 4yo is well in at the weights for this novice after the wfa. Second favourite but the Balding 3yo above him has to improve again and there is a chance this is plenty short enough for him.
Strange one. Even though he was backed the favourite was backed more and Balding favs and very short ones always beat me. Hcp ratings didn't work. Market did.",4,2.8
"227",227,2022-07-12,"Bath","Aviary",100,2,"2nd","10/1","13/2",51,117,-100,7634.6,22700,22.4669603524229,51.5418502202643,33.6325991189427,"Dangerous opponents but I'm chancing this filly on second run for Wintle. Back to CD of her best performance she possibly needed the run lto, over 6f fading out of contention. Harry Davies a very unusual booking & claim brings her down to lowly mark.
One too good, but she ran an inefficient race. Pulled like a train thru the first 2f and struggliing in last till 3 out, then late headway wide, but the favourite was gone. Late money.",11,7.5
"228",228,2022-07-13,"Killarney","Cigamia",100,1,"Won*","9/4","11/8",52,118,225,7859.6,22800,22.8070175438596,51.7543859649123,34.4719298245614,"As short as I'd want to be in a big field listed race,  ere Keane rides one dropping back from a classic. But her form in 4th under top weight at Royal Ascot would win any recent renewal of this and she will be hard to beat here.
Nothing else was wanted in the market but Keane all but did me as she looked in a bit of bother after a wide trip. But she found enough in the finish and got there right on the line.",3.2,2.4
"229",229,2022-07-14,"Leopardstown","Georgeville",100,0,"unpl","5/2","3/1",52,118,-100,7759.6,22900,22.707423580786,51.528384279476,33.8847161572052,"Not seen to best effect so far this year but has plenty on his side in terms of ratings and conditions tonight getting 3lb from what is probably his equal in Bear Story. CD winner well drawn and  connection are always worth pound or two.
An absolute shocker from Keane. Significantly weak in mkt and anchored in last he was full of running but far too far out of his ground when asked to pick up. Probably the worst ride I've seen this year.",3.5,4
"230",230,2022-07-15,"Killarney","Shannon Glory",100,1,"Won*","100/30","100/30",53,119,334,8093.6,23000,23.0434782608696,51.7391304347826,35.1895652173913,"Took advantage of on track value as this one was 13/8 this morning with seeingly one to beat. But I didn't fancy that one and she was a huge drifter on course.
100/30 was utterly ridiculous as she had little else to beat. She hacked up.",4.3,4.3
"231",231,2022-07-16,"Newbury","Finest Sound",100,2,"2nd","7/1","15/2",53,120,-100,7993.6,23100,22.9437229437229,51.9480519480519,34.604329004329,"Two at  head of the market probably have the best form but  this Crisford/Atzeni gelding is not far behind and ought to be closer to them in mkt. A poor run last time presumably contributing to that when seeming unsuited to Epsom.
Broke a rule in that there were two at under 2/1 and I just never get away with breaking rules. Haggas favourite made all and really there was daylight second, just staying on after being under pressure early.",8,8.5
"232",232,2022-07-18,"Ballinrobe","Mischief Star",100,1,"Won*","5/1","7/2",54,121,500,8493.6,23200,23.2758620689655,52.1551724137931,36.6103448275862,"Weighted to go close in this claimer and should be well positioned close to pace. Has to overcome the loss of a valuable claiming rider who now switches to a stable mate, as well as a below form effort on sand last time out. A percentage call at the prices.
Good ride from Shane Foley, went to the front early and nothing was getting into it from off the pace. The second took him on up the straight and nearly got there but the horse stuck on gamely, a head up.",6,4.5
"233",233,2022-07-19,"Ballinrobe","Telecon",100,1,"Won*","9/1","11/2",55,122,900,9393.6,23300,23.6051502145923,52.3605150214592,40.3158798283262,"Telecon looks  well overpriced on hurdles debut after a couple of promising bumper runs. On 20lb rule he's only a pound off 6/4 fav but that one is a  flat miler who outran big odds lto against an easy winner. The rest are exposed.
A flood of very late money and he's barely come off the bridle to win by clear blue sky. Cruised round just behind the pace and moved up early on final circuit to pull effortlessly clear. Different league",10,6.5
"234",234,2022-07-21,"Limerick","Gekkotta",100,1,"Won*","33/1","33/1",56,123,3300,12693.6,23400,23.9316239316239,52.5641025641026,54.2461538461538,"A bad maiden, poor connections and  returning from 9 months off for hurdles debut so no support. But his best bumper form is streets ahead of the level needed to win this, and last time the opposition  was in a different league to these.
Friendless in the market it seems nobody took those bumper figures into account. He travelled well on the rail in mid div and made steady ground before taking over between last two and winning with a  bit in hand.",34,34
"235",235,2022-07-22,"York","Poptronic",100,2,"2nd","5.2ex","100/30",56,124,-100,12593.6,23500,23.8297872340426,52.7659574468085,53.5897872340426,"Gosden fav could be anything but was getting 10b from a 93 rated 2nd lto. Take her on with this filly who is improving herself. Wouldn't be an above avge winner but  won a in higher grade lto, steady pace masking superiority in beating a 106 rated rival.
Tried to make all which was setting it up, but only one got past her. There were only three serious filies in the race and I was happy to take on both, but it was my third best one, that got me. Balding as ever.",5.2,4.3
"236",236,2022-07-26,"Goodwood","Legend Of Dubai",100,0,"unpl","8/1","11/2",56,124,-100,12493.6,23600,23.728813559322,52.5423728813559,52.9389830508475,"Might regret playing in such a hot race but Atzeni  irresistable. Was all the rage for the Hunt Cup but bounced to the stars. Hacked up at Newmarket before that looking like a class horse and worth another chance at this price for red hot connections.
Never really travelling and quite wide but had the chance to quicken up if he was the horse he was touted to be. He's not, and the Ascot form wasn't a blip evidently. Silly race to get involved in.",9,6.5
"237",237,2022-07-26,"Worcester","Hey Frankie",100,2,"2nd","7/1","7/1",56,125,-100,12393.6,23700,23.6286919831224,52.7426160337553,52.293670886076,"Has looked strong on stamina from day one and made a good start to handicapping last time out. Now upped to 23f and unexposed. Competitive race and not mad keen on the connections but going the right way & has the right profile for a race like this.
Late collapse on BF but ran well. Looked to be coming through to win but swamped on the run in. Made an error at the last but I doubt it cost the race the way the winner finished.",8,8
"238",238,2022-07-28,"Galway","Nectaris",100,3,"3rd","7/2","3/1",56,126,-100,12293.6,23800,23.5294117647059,52.9411764705882,51.653781512605,"Competitive but reasons enough to side with this filly. Just edging the weights she comes off a career best in a higher grade (albeit a sub-par running) and is drawn to attack on a course that favours handy prominent runners.
Didn't lead but was in a good position to strike off the final bend but din't quicken up. The winner was a nine year old and the second unfancied so this has to go down as a big disappointment.",4.5,4
"239",239,2022-07-29,"Newmarket","Night Sparkle",100,0,"unpl","3/1","15/8",56,126,-100,12193.6,23900,23.4309623430962,52.7196652719665,51.0192468619247,"Going the right way in maidens and looked suited by this trip on qualifying run lto. 2nd to a 92 rated filly and a strict reading of that form puts her on 85+ but is in here off 77. Has a Haggas potential improver to beat but probably is the likelier.
It was Crisford/Atzeni so that edged the decision but anticipating handicap blips is not for me. It looked wrong but as ever the grader was right. Moved well and every chance but just not good enough.",4,2.9
"240",240,2022-07-30,"Newmarket","Star Fortress",100,0,"unpl","7/2","9/4",56,126,-100,12093.6,24000,23.3333333333333,52.5,50.39,"The short fav has a TWR some way off the mark so siding with a progressive 3yo who blitzed a limited field lto, clear with the second, who might have been flattered to be there. Whatever wins will need to improve and this one looks to have the most scope.
Three similar results in a row. Went close but not quite good enough. I missed the winner here because of the figures not stacking up, but it was Atzeni riding for Gosden dropping two grades in class.",4.5,3.2
"241",241,2022-07-31,"Market Rasen","Martalmix'jac",100,0,"unpl","25/1","25/1",56,126,-100,11993.6,24100,23.2365145228216,52.2821576763486,49.7659751037344,"This is a bit of value given I don't fancy the front two much. Shown a glimmer of form over inadequate trips last twice and though he has to improve he doesn't have to find as much as his price suggests and the longer trip looks a plus.
The favourite won it so I was wrong to be against it, but mine was never going well and got left behind without excuses. Just no good I suspect. A speculative call and irresponsible I think.",26,26
"242",242,2022-08-01,"Cork","Miss Fourie",100,0,"unpl","5/1","7/2",56,126,-100,11893.6,24200,23.1404958677686,52.0661157024793,49.1471074380165,"All the big guns with runners incl Mullins unraced favourite. But it might be worth chancing this Gavin Cromwell mare who has improved in bumpers with interpolated numbers that would win any of the previous runnings of this race by a margin.
Very uneasy in the market with BF always bigger.  Ran nowhere near her bumper form despite looking like she had it on a plate with Mullins' flopping. Didn't fancy winner but she was only one to run to her form.",6,4.5
"243",243,2022-08-02,"Roscommon","Rioga Choice",100,1,"Won*","7/2","2/1",57,127,350,12243.6,24300,23.4567901234568,52.2633744855967,50.3851851851852,"Bumper form of fav doesn't quite get there without non-winner allowance. Thisran to a good standard March with winners emerging. Needed the run lto right there till fading late. Yard's runners can need it and she should be back up to speed after that.
Well backed. Came on a ton for last run and absolutely hacked round kept wide by Blackmore just behind the front but once asked to improve she's cruised to the front and won hard held. Needed to break this run.",4.5,3
"244",244,2022-08-04,"Sligo","Via Rosa",100,1,"Won*","4/1","5/2",58,128,400,12643.6,24400,23.7704918032787,52.4590163934426,51.8180327868852,"Can reverse form last time with todays favourite. Drop in trip on a tight track a big plus, while fav looked in need of a  stiffer test last time. Quietly improving with scope  for more based on bumper form last year, she's worth backing under these conditions.
Perfectly to plan. As I thought, the course and the trip set this up nicely, Mark Walsh clued up, skipped round the rail while the fav moved well but hit a wall when she needed to come an win it as the pace told.",5,3.5
"245",245,2022-08-05,"Wexford","Act Of God",100,1,"Won*","3/1*","3/1",59,129,300,12943.6,24500,24.0816326530612,52.6530612244898,52.8310204081633,"Trainer winless this year but this could be an opportunity based on penultimate run when close to his superior hurdles form on second chase. Excuses last time and just edges the main rival who has more experience but usually makes errors.
Cracking tussle between the fron two but as I though the market had them the wrong way round. The favourite was error free so it was game on but Darragh O'Keefe got the better of Keith Donaghue to win by a length or so.",4,4
"246",246,2022-08-07,"Downpatrick","Joshua Chamberlain",100,3,"3rd","25/1","12/1",59,130,-100,12843.6,24600,23.9837398373984,52.8455284552846,52.209756097561,"Hugely speculative on hdl debut. Fav was weakening over shorter and 2nd fav a big galloping stayer on a tight track. Debut form in bumper translates to best in race: below that but not disgraced in two runs since with this trip promising to suit.
Support before a last minute drift back out and ran well but no chance with the favourite who hacked round and another up for second. He did beat the big Elliot short one who as I suspected was too slow for this track.",26,13
"247",247,2022-07-08,"Ballinrobe","Nonbinding",100,2,"2nd","9/1","15/2",59,131,-100,12743.6,24700,23.8866396761134,53.0364372469636,51.5935222672065,"Niggles over the shorter priced options, this gelding has had  problems and is weak early, bleeding when last seen on hurdles debut. But the best of his bumper form translates to a superior rating by some way. Well bred he may be better than shown to date.
A dodgy race for sure. Mullins fav was hammered in the mkt and they let her go clear with no chance of being caught. Mine was hacking with no effort to close till it was impossible and he just stayed on for 2nd.",10,8.5
"248",248,2022-08-10,"Gowran","Lyrical Poetry",100,0,"unpl","7/2","2/1",59,131,-100,12643.6,24800,23.7903225806452,52.8225806451613,50.9822580645161,"Listed chance for a filly who ran in G1 company the last day after looking up to pattern grade with a good second in a G3 to a colt with G1 form. Jt top on IT ratings and the other seems vulnerable, but its stable companion is the progressive one to beat.
Not good enough in 4th but probably would have placed but for a lousy pitch turning in. You really don't want to be wide turning in here, the very worst Irish track. He did seem to have a decent pitch before that.",4.5,3
"249",249,2022-08-12,"Newbury","Maylandsea",100,0,"unpl","5/2","11/4",59,131,-100,12543.6,24900,23.6947791164659,52.6104417670683,50.3759036144578,"2nd in the Q mary is head and shoulders above anything else though 2yos can take leaps forward. Inconvenienced by stead pace at 6f and this extended 5 in a race that ought to be well run gives her a chance to get back to form. Skinny but form is there.
Should have been nowhere near this. Numbers meaningless in 2yo races. Easy to back she missed the kick slightly and was short of room to halfway by which time she was beaten. Shocker, and the winner was impossible.",3.5,3.8
"250",250,2022-08-15,"Roscommon","Bringbackmemories",100,2,"2nd","11/4","5/2",59,132,-100,12443.6,25000,23.6,52.8,49.7744,"After much deliberation this keeps it simple. Highest rated, in for the maximum claim and dropped sharply in class from a 93+ handicap, Lyons/Keane. Difficulty is the wide draw but plenty of room here to get organised in the long straights.
Got a bit further back than ideal but not an excuse, would have won if he had any turn of foot at all, set to challenge at the furlong marker. Winner not on radar at these weights but was fav last twice and backed again.",3.8,3.5
"251",251,2022-08-17,"Sligo","Elusive Sea",100,3,"3rd","14/1","11/1",59,133,-100,12343.6,25100,23.5059760956175,52.9880478087649,49.1776892430279,"Chancing taking on two incl a Mullins fav as it didn't achieve a lot in only bumper. This has to improve from hurdles debut and could need a real trip but has the bumper form to be thereabouts with the highest rated 2nd fav and price looks big.
Beat the Mullins horse but the top rated won easliy, mine crying out for at least two and a half miles. Just taken off her feet as the pace quickened. Odd because theres a 20f race she could have run in later on the card",15,12
"252",252,2022-08-18,"Killarney","Emphatic Answer",100,0,"unpl","6/1","9/2",59,133,-100,12243.6,25200,23.4126984126984,52.7777777777778,48.5857142857143,"Below par run lto but is top rated on IT and TF, is down from G3 &should appreciate return to 8f off a strong pace. A sense that others will be more popular, but on the whole it looks an average field, only one unexposed mdn winner.
This horse's rating is too high in both handicaps. Had every chance especially as she took a gap a furlong out and looked like winning, only to be swamped by pacier types and run out of frame. Her 2nd in a g2 looks false now.",7,5.5
"253",253,2022-08-19,"Kilbeggan","Grand Soir",100,1,"Won*","13/2R4","7/2",60,134,585,12828.6,25300,23.7154150197628,52.9644268774704,50.7059288537549,"Top two good enough at their best but have questions to answer. This one has a bumper score to go very close and looks a stayer. Held on hdles bow lto but needed the run and may be value to take a step forward this time at 25f.
Doubts over the favourites  well founded and the trip has really suited. Messy race, but he was fitter for his last run and stayed all day, reminder early racing lazily, but responded to chase the leader and stayed on strongly late.",7.5,4.5
"254",254,2022-08-20,"Killarney","The Last Mardi",100,3,"3rd","4/1","3/1",60,135,-100,12728.6,25400,23.6220472440945,53.1496062992126,50.1125984251969,"This could be between a Mullins and  Elliot debutants and Elliots has the better bumper form but is the bigger price. Not a lot between them but an easy choice on value. De Bromhead runner not far behind the level but may need further
Lost more ground in the air than he was beaten by. Basically didn't jump after a mistake mid race. Mullns runner fluent in front and not hard pressed.",5,4
"255",255,2022-08-21,"Naas","Adaay To Remember",100,0,"unpl","4.2ex","3/1",60,135,-100,12628.6,25500,23.5294117647059,52.9411764705882,49.5239215686275,"A competitive fillies G3 sprint and though the price is thin enough, this one has a low draw that she can exploit from just off the pace and her last run, her best yet was 2nd to a G1 class filly. She's best in at the weights and looks to be getting better with racing.
Got draw all wrong. Thought low would be best but they all wanted to be stand side while she remained wide on wing centre course. Travelling easily prominent then totally swamped late by the high drawn horses. Haggas on the job.",4.2,4
"256",256,2022-08-22,"Ballinrobe","Ko Kate",100,0,"fell","25/1","16/1",60,135,-100,12528.6,25600,23.4375,52.734375,48.93984375,"Not overimpressed with Elliot fav lto but has the hurdles figure to win. This mare put up big bumper score on 3nd run and may be value on that. Not at that level last time,  connections weak & big step up in trip for hdls debut, but price compensates downside.
Seemed uncomfortable with the pace and couldn't get out of last place though not tailed off. Struggling to make any impact when she came down two out.",26,17
"257",257,2022-08-22,"Ballinrobe","Norwigi",100,0,"unpl","4.1ex","2/1",60,135,-100,12428.6,25700,23.3463035019455,52.5291828793774,48.3603112840467,"Norwigi has had a few goes over fences. But her form in both codes is superior to the rest by some way and she has a golden opportunity to get off he mark going up in trip. I'd have her 7/4 at best.
Awful run. Edgy in market and never looked like getting near them. Ran in snatches and not fluent at his fences. The combination of an obvious chance yet with plenty of defeats to her name spelt trouble. Avoid this one.",4.1,3
"258",258,2022-08-23,"Bellewstown","Mandarin Monarch",100,3,"3rd","4/1","100/30",60,136,-100,12328.6,25800,23.2558139534884,52.7131782945737,47.7852713178295,"Most of these ran in a similar claiming hurdle a month ago but the outlier is Mandarin Monarch who has been below his best but has been given a weight to win this. Some concern over the fact that he's near the bottom but is given the benefit.
Brainless irish jockeys letting on take a huge lead and couldn't close the gap. Mine was gaining before running out of steam and getting done late for second but Jack Kennedy stole it.",5,4.3
"259",259,2022-08-26,"Down Royal","Champella",100,1,"Won*","9/2","100/30",61,137,450,12778.6,25900,23.5521235521236,52.8957528957529,49.3382239382239,"Fav has form to win but not convinced it's reliable. This mare close behind on bumper nos, last time clear of the rest when third behind a potentially smart Mullins winner. Previously a winner here and step up to 20f on debut should suit.
Benefitted somewhat from carnage at the last as the two ahead of her in the betting were in front of her, but one fell, the favoourite was hampered and she maintained the momentum to sweep by and run on to the line.",5.5,4.3
"260",260,2022-08-26,"Tipperary","The Highway Rat",100,0,"unpl","9/1","14/1",61,137,-100,12678.6,26000,23.4615384615385,52.6923076923077,48.7638461538462,"Ratings passed over, high draw and prominent  the way to go at 5f here. I liked Strong Johnson for Keane but this one was improving on AW last year, beat SJ in a higher grade. Has to be ready on first run of year away from AW, but top IT rating down in class.
I let this ride despite market weakness but he never had a chance to show what he could do as he was murdered at the start, partly his own doing and was again hampered after a furlong. Never near the pace and no chance from early",10,15
"261",261,2022-08-27,"Beverley","Tis Marvellous",100,1,"Won*","5.4ex","7/2",62,138,418,13096.6,26100,23.7547892720307,52.8735632183908,50.1785440613027,"Hard to get away from last years winner who looks well in on both sets of ratings in an otherwise competitive field but one lacking anything  progressive. A middle draw and hold up horses inside him should ensure he can take a good pitch to challenge.
A proper betting opportunity. Everything in its favour and a decent price. A straightforward ride from Hanagan, bounced him out, raced a handy 2nd showing pace behind the leader and held off the challengers once sent to the front.",5.4,4.5
"262",262,2022-08-27,"Windsor","Cresta",100,1,"Won*","100/30","9/4",63,139,334,13430.6,26200,24.0458015267176,53.0534351145038,51.2618320610687,"The longer of two relatively unexposed 3yos I think this edges it on form with Kingscote up. The race is below the norm but is going the right way and has suffered two Spencer specials, lto running on behind G1 horses. Drop in trip probably ok. (keen going)
Well backed favourite in the end which was always obvious as he had the best form. The leader (morning fav) tried to steal it from the front but Kingscote was always comfortable in 4th, cruised up two out and went right away.",4.3,3.2
"263",263,2022-08-28,"Goodwood","Double Or Bubble",100,1,"Won*","3.9ex","5/2",64,140,276,13706.6,26300,24.3346007604563,53.2319391634981,52.1163498098859,"Happy Power has the figures and will be hard to beat but is inconsistent. This filly is likely to give her running as she is game, genuine and classy below the very top level. She comes here after running on 5th in the July cup where she was on the wong side.
As excpected she battled hard to get the better of a tight finish. It was despite g/s ground which she didn't appreciate but I suspected that too much was being made of that. She's a cracking filly. Fav below her best.",3.9,3.5
"264",264,2022-08-31,"Gowran","Girl Crush",100,0,"unpl","9/2","4/1",64,140,-100,13606.6,26400,24.2424242424242,53.030303030303,51.5401515151515,"Runs off a claim which gives her a good chance at weights, despite a widish draw. Prefer further in but draw  less important than the pace angle here and she should be able to get forward. No show in two hcps but they were decent quality in comparison.
The usual bear trap - a favourite that really shouldn't have been, dots up. Seemed up against it at the wts but everybody fancied it? Mine was up there but never travelling, not liking the track. She had every chance but faded away.",5.5,5
"265",265,2022-09-01,"Salisbury","Maria Bramwell",100,0,"unpl","5/1","11/2",64,140,-100,13506.6,26500,24.1509433962264,52.8301886792453,50.9683018867925,"Despite ordinary numbers for the grade, still keen on the top two rated. Both have form at a higher level and looked in need of further than 5f. This one has twce beaten the other so sticking with that despite being outpaced in a Group w at the trip lto
Never looked comfortable, hanging and unbalanced in the second half, never got to the leaders. On the turn now for 2yos and the earlier types are getting beat, this going to a big improver, though mine definitely wants further.",6,6.5
"266",266,2022-09-03,"Wexford","Elusive Sea",100,3,"3rd","5/2","3/1",64,141,-100,13406.6,26600,24.0601503759398,53.0075187969925,50.4007518796992,"Favourite at standard but is relatively exposed and makes a market for this Elliot mare who matches up on bumpers form and promised more to come on second outing over timber over a trip likely to be short for her. Up to 3m she looks a bet.
I underestimated the favourite, but even so would have gone close and might have won it but for a bad mistake at the last, looking set to challenge, and I'd have backed Russell against the amateur on board the winner.",3.5,4
"267",267,2022-09-04,"York","Gale Force Maya",100,1,"Won*","3.75ex","7/4",65,142,261,13667.6,26700,24.3445692883895,53.1835205992509,51.1895131086142,"Has failed numerous times at this level but she's still hard to get away from as she's top on both figures with strong correllation on TF, loves the track and the main danger is experimenting with a sharp drop in trip.
Absolutley everything was in place for this mare here, course, distance, ratings, pace, connections & price all,  big ticks. And it went exactly right in the race itself. Lay up, moving well and once sent to the front it was quickly all over.",3.75,2.8
"268",268,2022-09-06,"Galway","Azallya",100,2,"2nd","15/2","11/2",65,143,-100,13567.6,26800,24.2537313432836,53.3582089552239,50.6253731343284,"Those up front are exposed or needing further. This filly less so & looks to have been kept for Autumn ground. She ran 6th in an open G3 in May a race that has worked out well and returns to female co. Strong pace should suit and stable has struck form.
Again  underestimated the favourite who I thought might be vulnerable to an improver, but she ran right up to her best and held mine comfortably. She stayed on to get 2nd on the line but had been outpaced and was never winning it.",8.5,6.5
"269",269,2022-09-07,"Doncaster","Heredia",100,0,"unpl","7.4ex","5/1",65,143,-100,13467.6,26900,24.1635687732342,53.1598513011152,50.0654275092937,"Looked a group horse in a hcp when winning the Sandringham then maybe found race coming to soon when 3rd in listed co. LTO she was posted a bit wide at Goodwood in a G3. Has to overcome those runs but Ascot form entitles her to win this.
Excuses came to nothing and she's not the filly she looked at Ascot. Had every chance to pick up and go hrough up the rail but there was zero response when asked for an effort. Poor run, and Balding with Buick inevitably won it.",7.4,6
